,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,ID,description,input_string,number_of_results,status
28,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,48,Επίθεση με μηχανάκια σε πλήθος διαδηλωτών,Αθήνα,1,OK
29,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,52,Ξυλοδαρμός Τιτκώβ και Λάλου,Αθήνα,1,OK
30,"Patras, Greece",38.2466395,21.734574,APPROXIMATE,ChIJLe0kpZk1XhMRoIy54iy9AAQ,"locality,political",,57,ΜΑΤ περικυκλωνουν και χτυπαν πορεια 40 ατομων και απειλουν με ευθυβολη ριψη χημικων,ΠΑΤΡΑ,1,OK
31,"Nea Smyrni, Greece",37.9442881,23.7117556,APPROXIMATE,ChIJvXOxxEy8oRQRl3mevrHaz1U,"locality,political",,59,Χαστούκι σε γυναίκα,Νέα Σμύρνη,1,OK
32,"Nea Smyrni, Greece",37.9442881,23.7117556,APPROXIMATE,ChIJvXOxxEy8oRQRl3mevrHaz1U,"locality,political",,60,Εξώθηση πολίτη μέσα από πολυκατοικία και κλωτσιές στο δρόμο,Νέα Σμύρνη,1,OK
33,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,61,Αστυνομική βία στα γραφεία του Σοσιαλιστικού Εργατικού Κόμματος (ΣΕΚ),Αθήνα,1,OK
34,"Sepolia, Athens 104 43, Greece",38.0045679,23.7160906,APPROXIMATE,ChIJN4B2wdeioRQRkko7-S29ACY,"neighborhood,political",104 43,63,Επίθεση σε φοιτητή και στην οικογένειά του,Σεπόλια,1,OK
35,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,64,Αστυνομικοί πέφτουν με μηχανάκια πάνω σε δημοσιογράφους,Εξάρχεια,1,OK
36,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,67,Επίθεση σε διαδηλωτές που αποχωρούν συντεταγμένα,Αθήνα,1,OK
37,"Karditsa 431 00, Greece",39.3640258,21.9214049,APPROXIMATE,ChIJex3NLg_ZWBMRfh8-RDjlO14,"locality,political",431 00,68,Επίθεση σε ζευγάρι και βίαιη σύλληψη,Καρδίτσα,1,OK
38,"Kirillou Loukareos 14, Athina 115 22, Greece",37.9889865,23.7528836,ROOFTOP,ChIJi0MwTa2ioRQRmX-D2lR5Zls,"courthouse,establishment,local_government_office,point_of_interest",115 22,69,Η αστυνομία διαλύει την συγκέντρωση για την καταδικη της ΧΑ,Εφετείο Αθηνών,2,OK
39,"Ilisia, Zografou 157 71, Greece",37.9778401,23.7595457,APPROXIMATE,ChIJbaEeble9oRQR6uq8a9I_3Os,"neighborhood,political",157 71,74,Ξυλοδαρμός μοτοσυκλετιστή,Ιλίσια,1,OK
40,"Lesbos, Greece",39.2645095,26.2777073,APPROXIMATE,ChIJ9x8-96OSuhQRjU4uyhIxkqI,"establishment,natural_feature",,76,Ξύλο σε πρόσφυγες στη Μυτιλήνη,Λέσβος,2,OK
41,"Lesbos, Greece",39.2645095,26.2777073,APPROXIMATE,ChIJ9x8-96OSuhQRjU4uyhIxkqI,"establishment,natural_feature",,77,Δακρυγόνα σε παιδιά και ηλικιωμένους που φεύγουν από τη φλεγόμενη Μόρια,Λέσβος,2,OK
42,"Sepolia, Athens 104 43, Greece",38.0045679,23.7160906,APPROXIMATE,ChIJN4B2wdeioRQRkko7-S29ACY,"neighborhood,political",104 43,79,Ξυλοδαρμός δύο νεαρών,Σεπόλια,1,OK
43,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,80,Κουκουλοφόρος αστυνομικός εκτός υπηρεσίας βγάζει όπλο εναντίον φοιτητών στο προαύλιο της ΑΣΟΕΕ,Αθήνα,1,OK
44,"Acharnes, Greece",38.0852204,23.738064,APPROXIMATE,ChIJc6GE2QSgoRQRwHu54iy9AAQ,"locality,political",,81,Επίθεση σε 11χρονο παιδί,Μενίδι,1,OK
45,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,82,Βία σε άνδρα πεσμένο στο δρόμο,Εξάρχεια,1,OK
